#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
hCoV-19/Romania/Bucuresti-417868/2021, 2021.0753424657535, 0.000055, -0.000194
hCoV-19/Portugal/PT3893/2021, 2021.1219178082192, 0.000189, -0.000070
hCoV-19/Portugal/PT3403/2021, 2021.1082191780822, 0.000189, -0.000067
hCoV-19/Netherlands/NH-RIVM-16027/2021, 2021.1520547945206, 0.000287, 0.000021
hCoV-19/Germany/BW-RKI-I-039602/2021, 2021.182191780822, 0.000222, -0.000051
hCoV-19/Netherlands/GE-RIVM-16641/2021, 2021.1575342465753, 0.000289, 0.000022
hCoV-19/Curacao/CW-RIVM-15653/2021, 2021.141095890411, 0.000389, 0.000126
hCoV-19/Curacao/CW-RIVM-16532/2021, 2021.1520547945206, 0.000357, 0.000092
hCoV-19/Bonaire/BQ-RIVM-16201/2021, 2021.1356164383562, 0.000292, 0.000030
hCoV-19/Bonaire/BQ-RIVM-16958/2021, 2021.1602739726027, 0.000358, 0.000091
hCoV-19/England/QEUH-1312E65/2021, 2021.1465753424657, 0.000518, 0.000253
hCoV-19/England/ALDP-12EB3EF/2021, 2021.1328767123289, 0.000283, 0.000021
hCoV-19/Aruba/AW-RIVM-10750/2021, 2021.0534246575342, 0.000217, -0.000027
hCoV-19/Aruba/AW-RIVM-14480/2021, 2021.1356164383562, 0.000250, -0.000012
hCoV-19/Aruba/AW-RIVM-15938/2021, 2021.1438356164383, 0.000282, 0.000018
hCoV-19/Belgium/Jessa_55-2108-000649/2021, 2021.154794520548, 0.000216, -0.000051
hCoV-19/Indonesia/JK-NIHRD-MI2101673/2021, 2021.1027397260275, 0.000383, 0.000129
hCoV-19/France/IDF-IPP02569/2021, 2021.0780821917808, 0.000249, 0.000000
hCoV-19/Australia/VIC18263/2021, 2021.1082191780822, 0.000217, -0.000039
hCoV-19/Slovenia/17-018266-CE/2021, 2021.1356164383562, 0.000218, -0.000044
hCoV-19/Slovakia/UKBA-1850/2021, 2021.127397260274, 0.000218, -0.000042
hCoV-19/Croatia/HRV000_275/2021, 2021.0534246575342, 0.000219, -0.000024
hCoV-19/Croatia/HRV000_208/2021, 2021.0534246575342, 0.000252, 0.000009
hCoV-19/Slovenia/08-048949-MB/2021, 2021.141095890411, 0.000319, 0.000056
hCoV-19/Hungary/HM-0125-313/2021, 2021.0671232876712, 0.000219, -0.000027
hCoV-19/Germany/SL-SU-3004631847/2021, 2021.0671232876712, 0.000254, 0.000008
hCoV-19/Austria/CeMM3488/2021, 2021.0753424657535, 0.000187, -0.000062
hCoV-19/Slovakia/UKBA-1405/2021, 2021.1328767123289, 0.000321, 0.000059
hCoV-19/Denmark/DCGC-46221/2021, 2021.1246575342466, 0.000289, 0.000030
hCoV-19/Austria/CeMM3850/2021, 2021.1054794520549, 0.000490, 0.000235
hCoV-19/Germany/NW-RKI-I-014145/2021, 2021.0671232876712, 0.000356, 0.000110
hCoV-19/Germany/BY-RKI-I-021560/2021, 2021.1246575342466, 0.000290, 0.000030
hCoV-19/Germany/TH-RKI-I-011927/2021, 2021.0780821917808, 0.000356, 0.000107
hCoV-19/Germany/BY-RKI-I-021093/2021, 2021.1164383561643, 0.000390, 0.000132
hCoV-19/Hungary/UD-P542/2021, 2021.0205479452054, 0.000185, -0.000051
